,Group 4 pumps to Amiad Filter,Group 4 pumps to Amiad Filter,Group 4 pumps to Amiad Filter,Group 4 pumps to Scale Pit,Group 4 pumps to Scale Pit,Group 4 pumps to Scale Pit,Make up line valve to cold well,Make up line valve to cold well,Make up line valve to cold well,VT Pump to cooling tower,VT Pump to cooling tower,VT Pump to cooling tower,PPF Pit to cold well,PPF Pit to cold well,PPF Pit to cold well
2024-05-22,25928000.0,30602000.0,4674.0,26330000.0,30099000.0,3769.0,16692000.0,22986000.0,6294.0,23590000.0,29611000.0,6021.0,15911000.0,17431000.0,1520.0
2024-05-23,25794000.0,26854000.0,1060.0,25912000.0,27577000.0,1665.0,16412000.0,22916000.0,6504.0,23473000.0,27018000.0,3545.0,15501000.0,22583000.0,7082.0
2024-05-24,26231000.0,31627000.0,5396.0,25642000.0,27794000.0,2152.0,16553000.0,20183000.0,3630.0,23999000.0,26364000.0,2365.0,15436000.0,21478000.0,6042.0
2024-05-25,26017000.0,27363000.0,1346.0,26660000.0,34042000.0,7382.0,16734000.0,22486000.0,5752.0,23952000.0,26288000.0,2336.0,15262000.0,15382000.0,120.0
2024-05-26,26628000.0,33480000.0,6852.0,25937000.0,26743000.0,806.0,17634000.0,19227000.0,1593.0,24357000.0,27896000.0,3539.0,15539000.0,16982000.0,1443.0
2024-05-27,26286000.0,28411000.0,2125.0,26526000.0,33348000.0,6822.0,16536000.0,18645000.0,2109.0,23880000.0,24203000.0,323.0,15516000.0,18050000.0,2534.0
2024-05-28,25669000.0,34143000.0,8474.0,26601000.0,29399000.0,2798.0,16463000.0,24431000.0,7968.0,24510000.0,25486000.0,976.0,15045000.0,17633000.0,2588.0
2024-05-29,25885000.0,30775000.0,4890.0,26493000.0,35538000.0,9045.0,16909000.0,21060000.0,4151.0,23842000.0,28725000.0,4883.0,15557000.0,23722000.0,8165.0
2024-05-30,25171000.0,26572000.0,1401.0,26059000.0,29558000.0,3499.0,16862000.0,21410000.0,4548.0,23935000.0,32910000.0,8975.0,15579000.0,21877000.0,6298.0
2024-05-31,26169000.0,27911000.0,1742.0,25850000.0,31243000.0,5393.0,16500000.0,20811000.0,4311.0,24182000.0,29440000.0,5258.0,15912000.0,19671000.0,3759.0
